,RA_ICRS,DE_ICRS,e_RA_ICRS,e_DE_ICRS,mem_prob
1211,109.19926794478,13.79866338629,0.0486,0.0407,0.9419671128776745
1213,109.19515218224,13.80736207714,0.048,0.0405,0.8949663751719771
1217,109.12769860853,13.76852972934,0.1534,0.1373,0.9946127661600074
1224,109.1238457671,13.76324767368,0.0361,0.0301,0.7644035098703802
1226,109.12598237166,13.76779799907,0.0897,0.0821,0.701970525979919
1227,109.12050033169,13.76557492904,0.1384,0.117,1.0
1233,109.1232392736,13.77902530578,0.46,0.373,0.8974479856576917
1236,109.14651697245,13.78792618345,0.3831,0.3598,0.6674769845343876
1238,109.13360247816,13.77258092543,0.1391,0.1199,0.7570898069015418
1244,109.1348297889,13.77037386976,0.0265,0.0214,0.618820873251936
1245,109.13469917827,13.797685508,0.0685,0.0585,0.9229907901073654
1249,109.08984338804,13.77281375529,0.0834,0.0728,0.9221209522038005
1250,109.08322806183,13.7846364685,0.1703,0.1414,0.6982293701432363
1256,109.08105820825,13.78507672995,0.3239,0.2654,0.702446541175238
1266,109.10317355353,13.7810499007,0.0388,0.0324,0.9982062401382898
1268,109.12551593307,13.80401887278,0.3967,0.3178,0.703843331403831
1269,109.11203678076,13.79271398058,0.2879,0.2354,0.9330293764137694
1272,109.13151299589,13.80063423538,0.3395,0.275,0.8154603688440035
1275,109.11286853053,13.7978792684,0.3282,0.2663,0.709785046938632
1277,109.11304938809,13.79035888311,0.049,0.0442,0.6246869073129867
1282,109.13011525218,13.80532034118,0.034,0.0292,0.6730254859247993
1284,109.09648832086,13.80399878852,0.0655,0.0502,0.9982062401382898
1288,109.14686319066,13.81121105254,0.3873,0.3113,0.6294770760051379
1289,109.17534779529,13.79995747758,0.2526,0.2164,0.9071069354953696
1291,109.16667806037,13.8123641506,0.3068,0.2631,0.9377552099255467
1292,109.15335479863,13.81568027959,0.2038,0.1686,1.0
1297,109.15954513427,13.82105271504,0.1839,0.1522,0.8972148979277953
1302,109.14435666893,13.80466045552,0.0585,0.0489,0.9456514707331418
1305,109.16181982105,13.81717773552,0.1521,0.1285,0.9141082773621769
1306,109.16511064152,13.81317438891,0.1448,0.1171,0.731094317065333
1308,109.17880609275,13.81619176232,0.0617,0.0513,0.9163610683972401
1318,109.16829397916,13.82403056792,0.1879,0.166,0.970203587195947
1319,109.15592734904,13.82573303548,0.2453,0.1973,0.8131876911628063
1320,109.13549491022,13.83437439211,0.1199,0.099,0.8027361345790683
1322,109.14666591854,13.81261160105,0.0828,0.0691,1.0
1328,109.12139718154,13.82472134052,0.1946,0.1728,0.9662717451983694
1333,109.1735333747,13.8482191292,0.2061,0.171,0.685988766941392
1337,109.17016238452,13.85087145618,0.0486,0.0409,0.7801638687766546
1340,109.15306205916,13.84715566805,0.0972,0.0826,0.7170050473075694
1344,109.17743070805,13.83941485471,0.1027,0.086,0.9048777452436915
1345,109.15312974975,13.83400134014,0.4764,0.3919,0.9818326370531033
1353,109.24208264884,13.79044163397,0.0265,0.0221,1.0
1359,109.26161353378,13.79749363331,0.126,0.1078,1.0
