,id,xcentroid,ycentroid,sharpness,roundness1,roundness2,npix,sky,peak,flux,mag
85,86,717.6754737261143,227.23390189161523,0.5168571308665402,0.2737077142142757,0.35385317786676873,49,0.0,784.5973598231844,1.6819731078264022,-0.5645476195346902
86,87,267.2151467075163,229.81936225790028,0.5949610812348464,-0.0974376820462038,-0.13334034007237686,49,0.0,870.0732678714744,19.005271804495464,-3.1971852126494946
87,88,527.6685324185053,229.96306808765286,0.5850383258152021,-0.023660554380521608,-0.13657010722423232,49,0.0,1862.987176506309,227.15516527983462,-5.890806541705853
88,89,250.04640841342444,233.9490658463782,0.5502133875126527,-0.28259696122518385,0.06464332727058235,49,0.0,783.3861657140078,1.1657812795500013,-0.16654269253531254
89,90,307.29994495233876,235.19529841184374,0.5754884416252064,-0.0021670147247072266,-0.13685014269104276,49,0.0,897.0043484928026,25.17307315519347,-3.5023405947778636
90,91,354.1664292569456,234.86015377437246,0.5506658314474879,-0.1794950946698885,-0.21157820531654936,49,0.0,784.2168972919948,1.2179013218976222,-0.2140302546267131
91,92,204.33078360643353,236.1007227922463,0.4682537323461282,-0.4932421947368052,-0.04009903594099117,49,0.0,795.480612191834,3.7523559031058964,-1.4357600589587882
92,93,754.6628578758291,238.7348761558299,0.6299249856153065,0.5313122104891536,-0.04243969880353382,49,0.0,782.6712434702589,1.178694820941445,-0.178503438230781
93,94,438.294317364594,242.70147572605765,0.571415785487675,-0.07692018491253545,-0.11697731636218194,49,0.0,8983.086876590789,1739.3791182553416,-8.100985629850635
94,95,488.49927543705786,244.42028491498044,0.48257675706808517,-0.12448170345097997,-0.19401308775806608,49,0.0,789.392660140269,2.5814071578870843,-1.0296412748987371
95,96,610.3293070439661,250.59876396600387,0.5737141727706496,-0.09299999798394185,-0.08735461898509296,49,0.0,1007.7419231908033,48.48867731271623,-4.2141008436862455
96,97,721.0588278252766,253.3272758030567,0.5726099347628943,-0.0017811069766791169,-0.05438204268489297,49,0.0,817.0426984844197,8.340524757484259,-2.3029834395770434
97,98,840.1185594868697,252.43599281533287,0.5052994494895846,-0.01558856623085121,-0.09146106879767213,49,0.0,785.2555045511257,1.8107634869460378,-0.6446543215028535
98,99,203.12278276812143,256.11270838544766,0.6187398996690371,-0.053136479644649265,-0.19378586308225357,49,0.0,809.0563024479223,6.109489627292794,-1.9650123294900408
99,100,433.88935967366825,258.0078760203936,0.5720053555359974,-0.05622303210019078,-0.09442854433656724,49,0.0,808.3226823448281,6.195944875613511,-1.9802688631297325
100,101,274.938556928806,258.9017327634182,0.5768557662825546,-0.08321589683655264,-0.05396564869526906,49,0.0,819.3337849509095,8.724128123714735,-2.351805087651146
101,102,233.5184180213224,259.78260854213744,0.556633424843742,-0.11714266496804154,-0.1164840922420016,49,0.0,787.9145536073602,2.1092607955378297,-0.8103257014357947
102,103,342.7945193869314,260.0598752459682,0.5764324850511634,-0.03786898069173592,-0.052215899172480366,49,0.0,797.1581615208466,3.936367963017979,-1.487739221374214
103,104,840.8356051794239,263.7373061391225,0.5849651210146275,-0.04930305739366682,-0.06432753192741651,49,0.0,822.7761300087493,9.473699921728432,-2.4412990609646896
104,105,652.5873815429409,264.55775030901714,0.5953262499294791,0.07969491357485009,-0.1081114975506463,49,0.0,920.9981712360288,29.370759145017455,-3.669787929656612
105,106,827.6314026409511,270.00054822465734,0.5911381146455853,-0.08758603898459418,-0.13244022497908037,49,0.0,822.3992723642785,9.361984842974728,-2.428419834176335
106,107,88.54712683270198,270.7068430631015,0.4402751589251674,0.32431607917904026,0.09392470021493401,49,0.0,782.5037326577439,1.193351862629539,-0.19192128827831062
107,108,187.6586805930712,273.20444789044404,0.6926158217566425,-0.06823882834724572,-0.011031398978902138,49,0.0,790.0582157840722,2.1292792739271373,-0.820581566901589
108,109,608.1605331786167,275.17304989299384,0.5648039664960457,0.02571506937780044,-0.06277165793096944,49,0.0,803.8347408503258,5.563764931579932,-1.863421932040902
